contentId	difficulty	front	back
HIS101-exam_2021_2022_1-M001	3	名词解释：《辛丑条约》	1901年清政府与11国签订，标志着中国彻底沦为半殖民地半封建社会。主要内容：赔款4.5亿两白银；划定使馆界；拆毁大沽炮台；禁止中国人民反帝斗争等。
HIS101-exam_2021_2022_1-M002	2	名词解释：《新青年》杂志	1915年陈独秀在上海创办，原名《青年杂志》，是新文化运动的核心刊物。宣传民主、科学，推动了思想解放和马克思主义传播。
HIS101-exam_2021_2022_1-M003	2	名词解释：中国同盟会	1905年在东京成立，是中国第一个近代资产阶级革命政党。以“驱除鞑虏，恢复中华，创立民国，平均地权”为宗旨，推行三民主义。
HIS101-exam_2021_2022_1-M004	2	名词解释：北洋军阀	清末袁世凯建立的封建军事集团，1912-1928年统治中国。以地主阶级为社会基础，依靠帝国主义支持，实行专制统治和割据混战。
HIS101-exam_2021_2022_1-J001	4	简答题：试析帝国主义列强不能灭亡和瓜分中国的原因。	1. 帝国主义列强之间的矛盾和互相制约（重要原因）；2. 中国人民前仆后继的反侵略斗争（根本原因），如义和团运动显示了中国人民不可侮的斗争精神。
HIS101-exam_2021_2022_1-J002	4	简答题：简述维新派与守旧派论战的内容及其意义。	内容：要不要变法；要不要兴民权、设议院、实行君主立宪；要不要废八股、改科举和兴西学。意义：论战实质上是资产阶级思想与封建主义思想的第一次正面交锋，进一步开阔了知识分子的眼界，解放了思想。
HIS101-exam_2021_2022_1-J003	3	简答题：在新文化运动中“民主”和“科学”的具体内涵是什么？	民主（德先生）：指资产阶级民主思想和民主制度，反对封建专制；科学（赛先生）：指自然科学和科学精神，反对迷信和盲从。
HIS101-exam_2021_2022_1-J004	5	简答题：为什么说中国共产党是中国人民抗日战争中的中流砥柱？	1. 倡导并坚持抗日民族统一战线；2. 提出全面抗战路线和持久战方针；3. 开辟敌后战场，建立抗日根据地；4. 发挥榜样作用，坚定全国人民抗战胜利信心。
HIS101-exam_2021_2022_1-L001	5	论述题：中国抗日战争胜利的伟大历史意义是什么？	1. 彻底粉碎了日本帝国主义奴役中国的图谋，捍卫了国家主权和领土完整；2. 促进了中华民族的大团结，形成了伟大的抗战精神；3. 是世界反法西斯战争的重要组成部分，为世界和平做出巨大贡献；4. 为中国共产党团结带领人民实现民族独立和人民解放奠定了基础。
HIS101-exam_2021_2022_1-L002	5	论述题：为什么说中国共产党提出的过渡时期总路线反映了历史的必然？	1. 国家工业化是国家独立和富强的物质基础；2. 对个体农业、手工业的社会主义改造，是发展农业生产、保障工业化的需要；3. 对资本主义工商业的改造，是解决劳资矛盾、将其纳入国民经济轨道的必然要求。
